;Numero da Venda;Data da Venda;Data do Envio;ID Canal;ID Loja;ID Produto;ID Promocao;ID Cliente;Quantidade Vendida;Quantidade Devolvida;Nome do Produto;Nome da Loja;E-mail do Cliente
3;18610;08/01/2017;10/01/2017;2;200;448;2;6825;48;0;WWI Desktop PC1.80 E1801 Black;Loja Contoso Catalog ;rbrumfieldmy@ameblo.jp
12;811927;29/10/2017;31/10/2017;2;100;431;1;6825;30;0;Adventure Works Desktop PC1.80 ED180 Brown;Loja Contoso Plano ;rbrumfieldmy@ameblo.jp
21;169169;11/03/2017;14/03/2017;3;22;437;2;21344;27;0;Adventure Works Desktop PC1.80 ED182 White;Loja Contoso Westminster ;makayla3@adventure-works.com
25;793013;23/10/2017;27/10/2017;4;310;1637;1;21344;20;0;Contoso DVD 48 DVD Storage Binder M50 Red;Loja Contoso Asia Reseller;makayla3@adventure-works.com
19;383897;25/05/2017;28/05/2017;3;306;347;1;21344;20;0;Fabrikam Laptop14.1 M4100 White;Loja Contoso Europe Online ;makayla3@adventure-works.com
23;882052;24/11/2017;29/11/2017;5;59;1607;4;21344;13;0;SV DVD 12-Inch Player Portable M400 Silver;Loja Contoso Manitowoc ;makayla3@adventure-works.com
6;873068;21/11/2017;22/11/2017;1;275;246;5;6825;13;1;Contoso Home Theater System 4.1 Channel M1410 Black;Loja Contoso Busan ;rbrumfieldmy@ameblo.jp
10;860046;16/11/2017;16/11/2017;0;191;578;4;6825;13;0;Contoso Projector 720p M621 Black;Loja Contoso Annapolis ;rbrumfieldmy@ameblo.jp
29;705272;24/09/2017;24/09/2017;0;200;716;3;21344;12;0;Proseware High Speed Laser M2000 White;Loja Contoso Catalog ;makayla3@adventure-works.com
15;638297;27/08/2017;27/08/2017;0;262;356;1;6825;10;0;Fabrikam Laptop14.1W M4180 Red;Loja Contoso Bangkok No.1 ;rbrumfieldmy@ameblo.jp
11;415344;04/06/2017;05/06/2017;1;231;997;1;6825;10;0;A. Datum SLR-like Digital Camera M400 Silver;Loja Contoso Hofheim ;rbrumfieldmy@ameblo.jp
4;287704;23/04/2017;26/04/2017;3;76;280;1;6825;10;0;Contoso Home Theater System 2.1 Channel M1210 Brown;Loja Contoso Beaumont No.1 ;rbrumfieldmy@ameblo.jp
9;413808;04/06/2017;06/06/2017;2;185;1197;1;6825;10;0;Fabrikam Budget Moviemaker 1/2'' 3mm E300 Grey;Loja Contoso Roanoke ;rbrumfieldmy@ameblo.jp
16;372597;21/05/2017;22/05/2017;1;86;981;1;21344;10;0;A. Datum Advanced Digital Camera M300 Pink;Loja Contoso Austin ;makayla3@adventure-works.com
22;333103;09/05/2017;09/05/2017;0;199;591;1;21344;10;1;Contoso Projector 480p M480 White;Loja Contoso North America Online ;makayla3@adventure-works.com
28;448950;15/06/2017;15/06/2017;0;78;340;1;21344;10;0;Fabrikam Laptop17 M7000 Black;Loja Contoso Beaumont No.2 ;makayla3@adventure-works.com
0;1;01/01/2017;02/01/2017;1;86;981;2;6825;9;1;A. Datum Advanced Digital Camera M300 Pink;Loja Contoso Austin ;rbrumfieldmy@ameblo.jp
2;191019;20/03/2017;21/03/2017;1;172;376;2;6825;9;0;Adventure Works Laptop12 M1201 Silver;Loja Contoso Hartford ;rbrumfieldmy@ameblo.jp
20;645873;31/08/2017;31/08/2017;0;309;968;9;21344;9;1;A. Datum Bridge Digital Camera M300 Grey;Loja Contoso Europe Reseller;makayla3@adventure-works.com
7;26350;12/01/2017;18/01/2017;6;21;568;2;6825;9;0;Proseware Projector 480p DLP12 Silver;Loja Contoso Wheat Ridge ;rbrumfieldmy@ameblo.jp
14;836335;07/11/2017;08/11/2017;1;237;322;10;6825;8;0;SV Car Video LCD7 M7002 Silver;Loja Contoso Giebelstadt ;rbrumfieldmy@ameblo.jp
18;786402;21/10/2017;25/10/2017;4;306;226;10;21344;8;0;Litware Home Theater System 2.1 Channel E210 Brown;Loja Contoso Europe Online ;makayla3@adventure-works.com
1;880458;23/11/2017;23/11/2017;0;306;235;10;6825;8;0;Litware Home Theater System 7.1 Channel M710 Brown;Loja Contoso Europe Online ;rbrumfieldmy@ameblo.jp
27;491564;29/06/2017;03/07/2017;4;307;1639;7;21344;6;0;Contoso DVD 38 DVD Storage Binder E25 Red;Loja Contoso Asia Online ;makayla3@adventure-works.com
13;364459;19/05/2017;20/05/2017;1;26;845;1;6825;5;0;Contoso Bright Light battery E20 White;Loja Contoso Loveland ;rbrumfieldmy@ameblo.jp
24;669111;09/09/2017;09/09/2017;0;310;777;1;21344;5;0;Contoso Reserve Pen -Tablet Pen E200 Blue;Loja Contoso Asia Reseller;makayla3@adventure-works.com
5;373600;22/05/2017;29/05/2017;7;33;1284;1;6825;5;0;Contoso Mini Battery Charger Kit E320 Black;Loja Contoso Berthoud ;rbrumfieldmy@ameblo.jp
26;177580;14/03/2017;23/03/2017;9;84;6;2;21344;4;0;Contoso 2G MP3 Player E200 Black;Loja Contoso Humble ;makayla3@adventure-works.com
17;614980;18/08/2017;18/08/2017;0;306;1621;9;21344;4;0;Contoso DVD Movies E100 Yellow;Loja Contoso Europe Online ;makayla3@adventure-works.com
8;180875;16/03/2017;16/03/2017;0;268;975;6;6825;4;0;A. Datum Ultra Compact Digital Camera M190 Pink;Loja Contoso Tokyo No.2 ;rbrumfieldmy@ameblo.jp
